cell_code,whole_plots,details,type,binder,solvent,fec,thickness,anode,anode_mass,active_mass,capacity_mah,protocol_type,source_file,ICE,retention_final,n_cycles,fade_rate_total,reference_cycle,final_cycle,inferred_cell_type,warnings
IF2007F2,,half small space,half,CMC,EC:DEC,2.5,200.0,,0.0072,0.00306,0.918,longterm,IF2007F2_2.5FEC_2026-07-21 17-04-59.csv,82.44454337569734,86.44715665827428,55.0,0.2464153334859221,2.0,55.0,half,
IF2007F3,,half small space,half,CMC,EC:DEC,2.5,200.0,,0.0073,0.00315,0.945,longterm,IF2007F3_2.5FEC_2026-07-21 17-05-29.csv,83.1719636751109,85.79673476299867,49.0,0.28986255585717,2.0,49.0,half,
IF2007F4,,half small space,half,CMC,EC:DEC,1.25,200.0,,0.0074,0.00324,0.972,longterm,IF2007F4_1.25FEC_2026-07-21 17-05-59.csv,83.41428777742145,83.61014577979653,95.0,0.1725247812652997,2.0,95.0,half,
IF2007F7,,half small space,half,CMC,EC:DEC,1.25,200.0,,0.0075,0.00333,0.999,longterm,IF2007F7_1.25FEC_2026-07-21 17-06-27.csv,82.36252518371315,100.0,2.0,0.0,2.0,2.0,half,"Only 2 cycles with activity, targets may be unreliable"
IF2007F8,,half small space,half,CMC,EC:DEC,1.25,200.0,,0.0066,0.00252,0.756,longterm,IF2007F8_1.25FEC_2026-07-21 17-06-54.csv,78.94075996634827,94.0186331378717,35.0,0.1708961960608085,2.0,35.0,half,
IF2007F9,,half small space,half,CMC,EC:DEC,0.5,200.0,,0.0073,0.00315,0.945,longterm,IF2007F9_0.5FEC_2026-07-21 17-07-30.csv,83.0735416820895,110.32884817083824,153.0,-0.067508811574106,2.0,153.0,half,"Retention=110.3% above 100%, check data"
IF2007G1,,half small space,half,PVDF,EC:DEC,0.0,200.0,,0.0078,0.0036,1.08,longterm,IF2007G1_0FEC_2026-07-21 16-48-57.csv,87.78066632544225,101.15790519848372,237.0,-0.0048856759429693,2.0,237.0,half,"Retention=101.2% above 100%, check data"
IF2007G10,,half small space,half,PVDF,EC:DEC,2.5,200.0,,0.0078,0.0036,1.08,longterm,IF2007G10_2.5FEC_2026-07-21 17-03-47.csv,78.05102532076846,87.16575175034662,30.0,0.4278082749884461,2.0,30.0,half,
IF2007G2,,half small space,half,PVDF,EC:DEC,0.0,200.0,,0.0085,0.00423,1.269,longterm,IF2007G2_0FEC_2026-07-21 16-50-39.csv,83.21446879967999,98.79592096636613,267.0,0.0045096593019995,2.0,267.0,half,
IF2007G3,,half small space,half,PVDF,EC:DEC,0.0,200.0,,0.0084,0.00414,1.242,longterm,IF2007G3_0FEC_2026-07-21 16-51-11.csv,82.62956842172801,100.63159662677016,230.0,-0.0027460722903049,2.0,230.0,half,"Retention=100.6% above 100%, check data"
